price_name,product_author,product_price,product_imagelink
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,$14.29,"https://images-na.ssl-images-amazon.com/images/I/81mdbaATinL._AC_UL200_SR200,200_.jpg"
"Business Made Simple: 60 Days to Master Leadership, Sales, Marketing, Execution and More",Donald Miller,$14.93,"https://images-na.ssl-images-amazon.com/images/I/91yj3mbz4JL._AC_UL200_SR200,200_.jpg"
Llama Llama I Love You,Anna Dewdney,$5.00,"https://images-na.ssl-images-amazon.com/images/I/71FeAb9omFL._AC_UL200_SR200,200_.jpg"
"Publication Manual of the American Psychological Association: 7th Edition, 2020 Copyright",American Psychological Association,$26.99,"https://images-na.ssl-images-amazon.com/images/I/918sHoEOD8L._AC_UL200_SR200,200_.jpg"
Plant Over Processed: 75 Simple & Delicious Plant-Based Recipes for Nourishing Your Body and Eating From the Earth,Andrea Hannemann,$18.61,"https://images-na.ssl-images-amazon.com/images/I/71lk10uajiL._AC_UL200_SR200,200_.jpg"
A Is for Awesome!: 23 Iconic Women Who Changed the World,Eva Chen,$5.00,"https://images-na.ssl-images-amazon.com/images/I/81YBb1OE3HL._AC_UL200_SR200,200_.jpg"
Animal Farm: 75th Anniversary Edition,George Orwell,$7.48,"https://images-na.ssl-images-amazon.com/images/I/81KWNbmGPNL._AC_UL200_SR200,200_.jpg"
The 48 Laws of Power,Robert Greene,$14.99,"https://images-na.ssl-images-amazon.com/images/I/71wdbkiRokL._AC_UL200_SR200,200_.jpg"
Grumpy Monkey,Suzanne Lang,$6.97,"https://images-na.ssl-images-amazon.com/images/I/71951W96oWL._AC_UL200_SR200,200_.jpg"
To Kill a Mockingbird,Harper Lee,$7.19,"https://images-na.ssl-images-amazon.com/images/I/91hzcTMy3GL._AC_UL200_SR200,200_.jpg"
"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",Shannon Roberts,$9.95,"https://images-na.ssl-images-amazon.com/images/I/81aY1lxk%2B9L._AC_UL200_SR200,200_.jpg"
This Is the Fire: What I Say to My Friends About Racism,Don Lemon,$18.61,"https://images-na.ssl-images-amazon.com/images/I/81Cf61prqrL._AC_UL200_SR200,200_.jpg"
Magnolia Table,Joanna Gaines,$16.59,"https://images-na.ssl-images-amazon.com/images/I/91j9OWi7SRL._AC_UL200_SR200,200_.jpg"
Bridgerton [TV Tie-in] (Bridgertons Book 1),Julia Quinn,$13.64,"https://images-na.ssl-images-amazon.com/images/I/81PxN0B7CmL._AC_UL200_SR200,200_.jpg"
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,$5.00,"https://images-na.ssl-images-amazon.com/images/I/91VcSyl-0DL._AC_UL200_SR200,200_.jpg"
